Ingredient List,Product Type,Marketing Category,brand_name,count_products,ct_applications
".ALPHA.-TOCOPHEROL ACETATE, D-; SODIUM SELENITE",PRESCRIPTION ANIMAL DRUG,NADA,BO-SE,1,1
ACEPROMAZINE MALEATE,PRESCRIPTION ANIMAL DRUG,ANADA,"Acepromazine maleate,ACEPROMAZINE MALEATE",2,1
ACEPROMAZINE MALEATE,PRESCRIPTION ANIMAL DRUG,NADA,"Acepromazine maleate,Acepromazine Maleate,PromAce",3,2
AFOXOLANER,PRESCRIPTION ANIMAL DRUG,NADA,NexGard,1,1
AFOXOLANER; MOXIDECTIN; PYRANTEL PAMOATE,PRESCRIPTION ANIMAL DRUG,NADA,NexGard PLUS,1,1
AFOXOLANER; PYRANTEL PAMOATE; MOXIDECTIN,PRESCRIPTION ANIMAL DRUG,NADA,NexGard PLUS,1,1
AIR,PRESCRIPTION ANIMAL DRUG,NADA,Air,1,11
AIR; CARBON DIOXIDE,PRESCRIPTION ANIMAL DRUG,NADA,Carbon Dioxide Air,1,1
ALBENDAZOLE,OTC ANIMAL DRUG,NADA,Valbazen,1,1
ALFAXALONE,PRESCRIPTION ANIMAL DRUG,NADA,ALFAXAN MULTIDOSE,1,1
ALTRENOGEST,OTC ANIMAL DRUG,ANADA,SwineMate,1,1
ALTRENOGEST,OTC ANIMAL DRUG,NADA,Matrix,1,1
ALTRENOGEST,PRESCRIPTION ANIMAL DRUG,ANADA,"Altren,OvaMed",2,2
ALTRENOGEST,PRESCRIPTION ANIMAL DRUG,NADA,ReguMate,1,1
AMIKACIN SULFATE,PRESCRIPTION ANIMAL DRUG,NADA,Amiglyde-V,1,1
AMOXICILLIN,PRESCRIPTION ANIMAL DRUG,NADA,"Amoxi-Drop,Amoxi-Mast,Amoxi-Tabs,Biomox",4,6
AMOXICILLIN ANHYDROUS; CLAVULANATE POTASSIUM,PRESCRIPTION ANIMAL DRUG,ANADA,"Betacilin Clav Drops,Clavacillin",2,2
AMOXICILLIN; CLAVULANATE POTASSIUM,PRESCRIPTION ANIMAL DRUG,ANADA,"Amoxicillin and clavulanate potassium,Amoxicillin and Clavulanate Potassium,Betacilin Clav,Kesium,UMBRELLIN",5,2
AMOXICILLIN; CLAVULANATE POTASSIUM,PRESCRIPTION ANIMAL DRUG,NADA,"Clavamox,Clavamox Drops",2,2
AMPICILLIN SODIUM,PRESCRIPTION ANIMAL DRUG,ANADA,Ampicillin Sodium,1,1
AMPICILLIN TRIHYDRATE,PRESCRIPTION ANIMAL DRUG,ANADA,Ampicillin,1,1
AMPICILLIN TRIHYDRATE,PRESCRIPTION ANIMAL DRUG,NADA,POLYFLEX,1,1
AMPROLIUM,OTC ANIMAL DRUG,ANADA,"Amprid FOR CALVES,AmproMed-P FOR POULTRY,AmproMed FOR CALVES,Cocci-Cure C FOR CALVES,Cocci Cure P FOR POULTRY,CocciAid,CocciAid for Calves",7,4
AMPROLIUM,OTC ANIMAL DRUG,NADA,"Amprol,Amprol 128,CORID",3,2
AMPROLIUM,OTC TYPE A MEDICATED ARTICLE ANIMAL DRUG,NADA,"Amprol 25 Type A Medicated Article,CORID Type A Medicated Article",2,1
AMPROLIUM ION,OTC ANIMAL DRUG,NADA,CORID,1,1
ATIPAMEZOLE HYDROCHLORIDE,PRESCRIPTION ANIMAL DRUG,ANADA,"atipamezole hydrochloride,CONTRASED,Cropamezole,Inversedine,Revertased,REVERTIDINE",6,3
ATIPAMEZOLE HYDROCHLORIDE,PRESCRIPTION ANIMAL DRUG,NADA,Antisedan,1,1
ATLANTIC SALMON TRANSGENIC WHOLE (OPAFP-GHC2 RDNA CONSTRUCT INSERTED INTO .ALPHA.-LOCUS IN THE EO-1.ALPHA. LINEAGE)ATLANTIC SALMON TRANSGENIC WHOLE (OPAFP-GHC2 RDNA CONSTRUCT INSERTED INTO .ALPHA.-LOCUS IN THE EO-1.ALPHA. LINEAGE),INTENTIONAL ANIMAL GENOMIC ALTERATION,NADA,AquAdvantage Salmon,1,1
AVILAMYCIN,VFD TYPE A MEDICATED ARTICLE ANIMAL DRUG,NADA,"Inteprity,Kavault",2,2
BACITRACIN METHYLENEDISALICYLATE,OTC TYPE A MEDICATED ARTICLE ANIMAL DRUG,NADA,"BMD,BMD Soluble,Pennitracin MD 50G",3,3
BAMBERMYCINS,OTC TYPE A MEDICATED ARTICLE ANIMAL DRUG,NADA,"Flavomycin,Gainpro 10",2,2
BC2371 RDNA CONSTRUCT ON CHROMOSOME 3P1.1-2 IN R69 NEW ZEALAND WHITE RABBITS,INTENTIONAL ANIMAL GENOMIC ALTERATION,NADA,Bc2371 rDNA construct on chromosome 3p1.1-2 in R69 New Zealand white rabbits,1,1
BEDINVETMAB,PRESCRIPTION ANIMAL DRUG,NADA,Librela,1,1
BENAZEPRIL HYDROCHLORIDE; SPIRONOLACTONE,PRESCRIPTION ANIMAL DRUG,NADA,CARDALIS,1,1
BETAMETHASONE ACETATE; BETAMETHASONE SODIUM PHOSPHATE,PRESCRIPTION ANIMAL DRUG,NADA,BetaVet,1,1
BETAMETHASONE ACETATE; GENTAMICIN SULFATE,PRESCRIPTION ANIMAL DRUG,NADA,Gentocin Durafilm,1,1
BETAMETHASONE ACETATE; TERBINAFINE,PRESCRIPTION ANIMAL DRUG,NADA,DuOtic,1,1
BETAMETHASONE VALERATE; GENTAMICIN SULFATE,PRESCRIPTION ANIMAL DRUG,ANADA,GenOne,1,1
BEXAGLIFLOZIN,PRESCRIPTION ANIMAL DRUG,NADA,Bexacat,1,1
BUPIVACAINE,PRESCRIPTION ANIMAL DRUG,NADA,NOCITA,1,1
BUPRENORPHINE,PRESCRIPTION ANIMAL DRUG,NADA,Zorbium,1,1
BUPRENORPHINE HYDROCHLORIDE,PRESCRIPTION ANIMAL DRUG,NADA,Simbadol,1,1
BUTORPHANOL TARTRATE,PRESCRIPTION ANIMAL DRUG,ANADA,"Butorphic,Dolorex,Torphadine",3,3
BUTORPHANOL TARTRATE,PRESCRIPTION ANIMAL DRUG,NADA,Torbugesic,1,1
BUTYLSCOPOLAMINE BROMIDE,PRESCRIPTION ANIMAL DRUG,NADA,Buscopan,1,1
CAPROMORELIN,PRESCRIPTION ANIMAL DRUG,NADA,Elura,1,1
CAPROMORELIN TARTRATE,PRESCRIPTION ANIMAL DRUG,NADA,Entyce,1,1
CARBADOX,OTC TYPE A MEDICATED ARTICLE ANIMAL DRUG,NADA,Mecadox,1,1
CARBON DIOXIDE,PRESCRIPTION ANIMAL DRUG,NADA,"Air 90% Carbon Dioxide 10%,Carbon Dioxide,Carbon Dioxide Oxygen,Carbon Dioxide Oxygen Mixture 5/95,Carbon Dioxide Refrigerated",5,6
CARPROFEN,PRESCRIPTION ANIMAL DRUG,ANADA,"Carofenvet,Carprieve,Carprofen,CARPROFEN,Carprofen Sterile Injectable,Carprovet,Carprovet Flavored,Carprovet Sterile Injectable,FLEXPROFEN,Levafen,LEVAFEN,MOVODYL,Novox,Novox Chewable,OstiFen,Quellin,TRUPROFEN FLAVORED TAB,Vetprofen",18,16
CARPROFEN,PRESCRIPTION ANIMAL DRUG,NADA,"RIMADYL,Rimadyl Caplets,Rimadyl Sterile,Rovera",4,3
CEFOVECIN SODIUM,PRESCRIPTION ANIMAL DRUG,ANADA,Solovecin,1,1
CEFOVECIN SODIUM,PRESCRIPTION ANIMAL DRUG,NADA,Convenia,1,1
CEFPODOXIME PROXETIL,PRESCRIPTION ANIMAL DRUG,ANADA,"Cefpoderm,Cefpodoxime Proxetil,DermaCeph",3,2
CEFPODOXIME PROXETIL,PRESCRIPTION ANIMAL DRUG,NADA,Simplicef,1,1
CEFTIOFUR,PRESCRIPTION ANIMAL DRUG,NADA,"Excede for Swine Sterile,Excede Sterile",2,2
CEFTIOFUR HYDROCHLORIDE,PRESCRIPTION ANIMAL DRUG,ANADA,Cefenil RTU,1,1
CEFTIOFUR HYDROCHLORIDE,PRESCRIPTION ANIMAL DRUG,NADA,"Excenel RTU EZ,Spectramast DC,Spectramast LC",3,3
CEFTIOFUR SODIUM,PRESCRIPTION ANIMAL DRUG,NADA,Naxcel,1,1
CEPHALEXIN,PRESCRIPTION ANIMAL DRUG,NADA,RILEXINE,1,1
CEPHAPIRIN BENZATHINE,PRESCRIPTION ANIMAL DRUG,NADA,ToMORROW,1,1
CEPHAPIRIN SODIUM,PRESCRIPTION ANIMAL DRUG,NADA,ToDAY,1,1
CHLORAMINE-T TRIHYDRATE,OTC ANIMAL DRUG,NADA,Halamid,1,1
CHLORAMPHENICOL,PRESCRIPTION ANIMAL DRUG,NADA,Viceton,1,1
CHLORTETRACYCLINE,VFD TYPE A MEDICATED ARTICLE ANIMAL DRUG,NADA,ChlorMax 50,1,1
CHLORTETRACYCLINE CALCIUM,VFD TYPE A MEDICATED ARTICLE ANIMAL DRUG,ANADA,"Deracin 100 Meal,Deracin 50 Meal,Deracin 90 Meal",3,1
CHLORTETRACYCLINE CALCIUM,VFD TYPE A MEDICATED ARTICLE ANIMAL DRUG,NADA,"Pennchlor 100 Hi-Flo,Pennchlor 100G,Pennchlor 50,Pennchlor 50G,Pennchlor 90G",5,1
CHLORTETRACYCLINE HYDROCHLORIDE,PRESCRIPTION ANIMAL DRUG,ANADA,"CHLORTETRACYCLINE HYDROCHLORIDE,Pennchlor 64",2,2
CHLORTETRACYCLINE HYDROCHLORIDE,VFD TYPE A MEDICATED ARTICLE ANIMAL DRUG,NADA,"Aureomycin,AUREOMYCIN,Aureomycin 90 Meal,CLTC 100 MR",4,2
CHLORTETRACYCLINE; SULFAMETHAZINE,VFD TYPE A MEDICATED ARTICLE ANIMAL DRUG,NADA,AUREOMIX S 40/40 GRANULAR,1,1
CICLESONIDE,PRESCRIPTION ANIMAL DRUG,NADA,Aservo EquiHaler,1,1
CLAVULANATE POTASSIUM; AMOXICILLIN,PRESCRIPTION ANIMAL DRUG,ANADA,"Amoxicillin and clavulanate potassium,Amoxicillin and Clavulanate Potassium,Betacilin Clav,Clavacillin,Kesium,UMBRELLIN",6,3
CLAVULANATE POTASSIUM; AMOXICILLIN,PRESCRIPTION ANIMAL DRUG,NADA,Clavamox,1,1
CLAVULANATE POTASSIUM; AMOXICILLIN ANHYDROUS,PRESCRIPTION ANIMAL DRUG,ANADA,"Amoxicillin and Clavulanate Potassium Drops,Clavacillin,Umbrellin",3,2
CLENBUTEROL HYDROCHLORIDE,PRESCRIPTION ANIMAL DRUG,NADA,Ventipulmin,1,1
CLINDAMYCIN HYDROCHLORIDE,PRESCRIPTION ANIMAL DRUG,ANADA,"CLINDA-GUARD DROPS,ClindaCure,Clindamycin,Clindamycin HCl Oral drops,Clindamycin Hydrochloride,Clindamycin Hydrochloride Oral Drops,CLINTABS,ZydaClin",8,4
CLINDAMYCIN HYDROCHLORIDE,PRESCRIPTION ANIMAL DRUG,NADA,"Antirobe,Antirobe Aquadrops",2,2
CLODRONATE DISODIUM,PRESCRIPTION ANIMAL DRUG,NADA,OSPHOS,1,1
CLOMIPRAMINE HYDROCHLORIDE,PRESCRIPTION ANIMAL DRUG,ANADA,"Calmera,CaniQuell,clomipramine hydrochloride,Clomipramine Hydrochloride",4,2
CLOMIPRAMINE HYDROCHLORIDE,PRESCRIPTION ANIMAL DRUG,NADA,CLOMICALM,1,1
CLOPIDOL,OTC TYPE A MEDICATED ARTICLE ANIMAL DRUG,NADA,Coyden Type A Medicated Article,1,1
CLOPROSTENOL SODIUM,PRESCRIPTION ANIMAL DRUG,ANADA,"ESTROPLAN,SYNCHSURE",2,1
CLOPROSTENOL SODIUM,PRESCRIPTION ANIMAL DRUG,NADA,Estrumate,1,1
CLORSULON; IVERMECTIN,OTC ANIMAL DRUG,ANADA,"Ivermax Plus,Ivermax Plus for Cattle,Vetrimec Plus",3,2
CLOXACILLIN BENZATHINE,PRESCRIPTION ANIMAL DRUG,NADA,"Dry-Clox,Orbenin-DC",2,2
COPPER NAPHTHENATE,OTC ANIMAL DRUG,ANADA,"D-THRUSH,KOPERTOX,PRITOX,THRUSH RELIEF,THRUSHTOX",5,1
COSYNTROPIN,PRESCRIPTION ANIMAL DRUG,NADA,CosACTHen,1,1
CUPRIC CARBONATE; ZINC OXIDE; SODIUM SELENITE; MANGANESE CARBONATE,PRESCRIPTION ANIMAL DRUG,NADA,Multimin 90,1,1
CYCLOSPORINE,PRESCRIPTION ANIMAL DRUG,ANADA,"CYCLAVANCE,Modulis for Cats,Modulis for Dogs,Sporimune",4,4
CYCLOSPORINE,PRESCRIPTION ANIMAL DRUG,NADA,"Atopica,Atopica for Cats,Optimmune Ophthalmic",3,3
DANOFLOXACIN MESYLATE,PRESCRIPTION ANIMAL DRUG,NADA,Advocin,1,1
DECOQUINATE,OTC TYPE A MEDICATED ARTICLE ANIMAL DRUG,NADA,"Deccox,Deccox M",2,2
DERACOXIB,PRESCRIPTION ANIMAL DRUG,ANADA,"Coxiba,Deracoxib,DOXIDYL Chewable,OstiMax Chewable,Rederox",5,2
DERACOXIB,PRESCRIPTION ANIMAL DRUG,NADA,Deramaxx,1,1
DESOXYCORTICOSTERONE PIVALATE,PRESCRIPTION ANIMAL DRUG,NADA,"Percorten V,ZYCORTAL",2,2
DETOMIDINE HYDROCHLORIDE,PRESCRIPTION ANIMAL DRUG,ANADA,"Detomequin,DetomiSed",2,2
DETOMIDINE HYDROCHLORIDE,PRESCRIPTION ANIMAL DRUG,NADA,"Dormosedan,Dormosedan Sterile",2,2
DEXAMETHASONE,PRESCRIPTION ANIMAL DRUG,ANADA,"DEXAMETHASONE,DEXASONE,Dexium",3,2
DEXAMETHASONE SODIUM PHOSPHATE,PRESCRIPTION ANIMAL DRUG,ANADA,"Dexamethasone SP,Dexium-SP",2,1
DEXMEDETOMIDINE,PRESCRIPTION ANIMAL DRUG,NADA,Sileo,1,1
DEXMEDETOMIDINE HYDROCHLORIDE,PRESCRIPTION ANIMAL DRUG,ANADA,"Dexased,Dexmedesed,Dexmedetomidine Hydrochloride,DEXMEDETOMIDINE HYDROCHLORIDE,DexmedVet,Sedexodine",6,4
DEXMEDETOMIDINE HYDROCHLORIDE,PRESCRIPTION ANIMAL DRUG,NADA,Dexdomitor,1,1
DICLAZURIL,OTC TYPE A MEDICATED ARTICLE ANIMAL DRUG,NADA,Clinacox,1,1
DICLAZURIL,PRESCRIPTION ANIMAL DRUG,NADA,Protazil,1,1
DICLOFENAC SODIUM,PRESCRIPTION ANIMAL DRUG,NADA,Surpass,1,1
DIMETHYL SULFOXIDE; FLUOCINOLONE ACETONIDE,PRESCRIPTION ANIMAL DRUG,NADA,Synotic Otic Otic,1,1
DINITOLMIDE,OTC TYPE A MEDICATED ARTICLE ANIMAL DRUG,ANADA,ZoaShield,1,1
DINITOLMIDE,OTC TYPE A MEDICATED ARTICLE ANIMAL DRUG,NADA,Zoamix,1,1
DINOPROST TROMETHAMINE,PRESCRIPTION ANIMAL DRUG,ANADA,ProstaMate Sterile,1,1
DINOPROST TROMETHAMINE,PRESCRIPTION ANIMAL DRUG,NADA,"Lutalyse HighCon Sterile,Lutalyse Sterile",2,2
DOMPERIDONE,PRESCRIPTION ANIMAL DRUG,NADA,Equidone,1,1
DORAMECTIN,OTC ANIMAL DRUG,ANADA,"DectoGard Pour-On,Doracide Pour-On,Doraject,Doramectin,Doramectin Pour-On",5,3
DORAMECTIN,OTC ANIMAL DRUG,NADA,"Dectomax,Dectomax Pour-On",2,2
DOXYCYCLINE HYCLATE,PRESCRIPTION ANIMAL DRUG,NADA,Doxirobe Gel,1,1
EMODEPSIDE; PRAZIQUANTEL,PRESCRIPTION ANIMAL DRUG,NADA,PROFENDER,1,1
ENROFLOXACIN,PRESCRIPTION ANIMAL DRUG,ANADA,"Enroflox,Enroflox 100,Enrofloxacin,Enrofloxacin 100,Enrofloxacin Flavored,EnroMed,EnroPro 100,EnroPro 22.7,Enroquin,Enroquin Flavored,Enrosite,Enrosite Flavored,Fluroxin Flavored,Fluroxin for Dogs 2.27%,Quellaxcin,Tenotryl",16,12
ENROFLOXACIN,PRESCRIPTION ANIMAL DRUG,NADA,Baytril,1,2
ENROFLOXACIN; BUTYL ALCOHOL,PRESCRIPTION ANIMAL DRUG,NADA,Baytril,1,1
ENROFLOXACIN; SILVER SULFADIAZINE,PRESCRIPTION ANIMAL DRUG,ANADA,"EnroPro Silver Otic,Enrosite Silver Otic",2,1
ENROFLOXACIN; SILVER SULFADIAZINE,PRESCRIPTION ANIMAL DRUG,NADA,BAYTRIL OTIC,1,1
EPRINOMECTIN,OTC ANIMAL DRUG,ANADA,"EpriGard Pour-On for Beef and Dairy Cattle,Eprimectin,Eprizero",3,3
EPRINOMECTIN,OTC ANIMAL DRUG,NADA,EPRINEX Pour-On for Beef and Dairy Cattle,1,1
EPRINOMECTIN,PRESCRIPTION ANIMAL DRUG,NADA,LongRange,1,1
EPSIPRANTEL,PRESCRIPTION ANIMAL DRUG,NADA,Cestex,1,1
ESTRADIOL,OTC ANIMAL DRUG,NADA,"Compudose,Encore",2,1
ESTRADIOL BENZOATE; PROGESTERONE,OTC ANIMAL DRUG,NADA,"Component E-C,Synovex S",2,2
ESTRADIOL BENZOATE; TRENBOLONE ACETATE,OTC ANIMAL DRUG,NADA,"Synovex Choice,Synovex One,Synovex Plus,Synovex Primer",4,2
ESTRADIOL; TRENBOLONE ACETATE,OTC ANIMAL DRUG,ANADA,Component TE-G,1,1
ESTRADIOL; TRENBOLONE ACETATE,OTC ANIMAL DRUG,NADA,"Revalor-200,Revalor-S,Revalor-XS,Revalor XH",4,3
ESTRIOL,PRESCRIPTION ANIMAL DRUG,NADA,Incurin,1,1
FEBANTEL; PRAZIQUANTEL; PYRANTEL PAMOATE,OTC ANIMAL DRUG,NADA,Durvet Dog Worm Tabs for Large Dogs,1,1
FEBANTEL; PYRANTEL PAMOATE; PRAZIQUANTEL,OTC ANIMAL DRUG,NADA,Durvet Dog Worm Tabs for Medium Dogs,1,1
FEBANTEL; PYRANTEL PAMOATE; PRAZIQUANTEL,PRESCRIPTION ANIMAL DRUG,NADA,"Drontal Plus,DRONTAL PLUS TASTE TABS",2,1
FENBENDAZOLE,OTC ANIMAL DRUG,ANADA,Defendazole,1,1
FENBENDAZOLE,OTC ANIMAL DRUG,NADA,"Panacur,Panacur C Canine,Safe-guard,Safe-Guard,Safe-Guard AquaSol",5,6
FENBENDAZOLE,PRESCRIPTION ANIMAL DRUG,NADA,Panacur,1,2
FIROCOXIB,PRESCRIPTION ANIMAL DRUG,ANADA,"EquiCoxib,Firocoxib,Firocoxib for Dogs,Firocoxib for Horses,Firovet,Firox,Flexira,OstiCoxib",8,5
FIROCOXIB,PRESCRIPTION ANIMAL DRUG,NADA,"EQUIOXX,PREVICOX",2,2
FLORFENICOL,PRESCRIPTION ANIMAL DRUG,ANADA,"FLORCON,Florfenicol,Florfeniject,Loncor 300,Norfenicol",5,5
FLORFENICOL,PRESCRIPTION ANIMAL DRUG,NADA,"Nuflor,Nuflor-S",2,1
FLORFENICOL,VFD TYPE A MEDICATED ARTICLE ANIMAL DRUG,ANADA,PAQFLOR,1,1
FLORFENICOL,VFD TYPE A MEDICATED ARTICLE ANIMAL DRUG,NADA,Aquaflor Type A Medicated Article,1,1
FLORFENICOL; FLUNIXIN MEGLUMINE,PRESCRIPTION ANIMAL DRUG,NADA,Resflor Gold,1,1
FLORFENICOL; MOMETASONE FUROATE; TERBINAFINE,PRESCRIPTION ANIMAL DRUG,ANADA,"Klentz,SIMPLERA Otic Solution",2,2
FLORFENICOL; TERBINAFINE; MOMETASONE FUROATE,PRESCRIPTION ANIMAL DRUG,NADA,Claro,1,1
